ID	d1	ignore theme	d1	telugu	d1	english	d1	Clue	d1	Image	d1	Sound
1	|	Airlines	|	ఎయిర్ కెనడా	|	air canada	|	ఎయిర్ కెనడా_clue	|		|	
2	|	Airlines	|	ఎయిర్ ట్రాన్	|	airtran	|	ఎయిర్ ట్రాన్_clue	|		|	
3	|	Airlines	|	అలాస్కా ఎయిర్ లైన్స్	|	alaska airlines	|	అలాస్కా ఎయిర్ లైన్స్_clue	|		|	
4	|	Airlines	|	అమెరికన్ ఎయిర్ లైన్స్	|	american airlines	|	అమెరికన్ ఎయిర్ లైన్స్_clue	|		|	
5	|	Airlines	|	కాంటినెంటల్ ఎయిర్ లైన్స్	|	continental airlines	|	కాంటినెంటల్ ఎయిర్ లైన్స్_clue	|		|	
6	|	Airlines	|	డెల్టా	|	delta	|	డెల్టా_clue	|		|	
7	|	Airlines	|	ఫ్రా౦టియర్ ఎయిర్ లైన్స్	|	frontier airlines	|	ఫ్రా౦టియర్ ఎయిర్ లైన్స్_clue	|		|	
8	|	Airlines	|	ఐస్ ల్యాండ్ ఎయిర్	|	iceland air	|	ఐస్ ల్యాండ్ ఎయిర్_clue	|		|	
9	|	Airlines	|	సౌత్ వెస్ట్.కామ్	|	southwest	|	సౌత్ వెస్ట్.కామ్_clue	|		|	
10	|	Airlines	|	సన్ కంట్రీ ఎయిర్ లైన్స్	|	sun country airlines	|	సన్ కంట్రీ ఎయిర్ లైన్స్_clue	|		|	
11	|	Airlines	|	యునై టెడ్	|	united	|	యునై టెడ్_clue	|		|	
12	|	Airlines	|	యు ఎస్ ఎయిర్ వేస్	|	US airways	|	యు ఎస్ ఎయిర్ వేస్_clue	|		|	
13	|	American_and_Italian_Foods	|	ఫ్రెంచ్ ఫ్రైస్	|	 french fries	|	ఫ్రెంచ్ ఫ్రైస్_clue	|		|	
14	|	American_and_Italian_Foods	|	ఆల్ఫ్రెదొ	|	alfredo	|	ఆల్ఫ్రెదొ_clue	|		|	
15	|	American_and_Italian_Foods	|	బ్యగెల్	|	bagel	|	బ్యగెల్_clue	|		|	
16	|	American_and_Italian_Foods	|	బీఫ్	|	beef	|	బీఫ్_clue	|		|	
17	|	American_and_Italian_Foods	|	బిట్టొ	|	bitto	|	బిట్టొ_clue	|		|	
18	|	American_and_Italian_Foods	|	బ్రెడ్	|	bread	|	బ్రెడ్_clue	|		|	
19	|	American_and_Italian_Foods	|	బ్రుస్కెట్ట	|	bruschetta	|	బ్రుస్కెట్ట_clue	|		|	
20	|	American_and_Italian_Foods	|	బర్గర్	|	burger	|	బర్గర్_clue	|		|	
21	|	American_and_Italian_Foods	|	బూజో	|	buso	|	బూజో_clue	|		|	
22	|	American_and_Italian_Foods	|	కాల్జోనె	|	calzone	|	కాల్జోనె_clue	|		|	
23	|	American_and_Italian_Foods	|	కన్నోలి	|	cannoli	|	కన్నోలి_clue	|		|	
24	|	American_and_Italian_Foods	|	సిరియల్	|	cereal	|	సిరియల్_clue	|		|	
25	|	American_and_Italian_Foods	|	చీస్ కర్డ్స్	|	cheese curds	|	చీస్ కర్డ్స్_clue	|		|	
26	|	American_and_Italian_Foods	|	చికెన్  	|	chicken	|	చికెన్  _clue	|		|	
27	|	American_and_Italian_Foods	|	చికెన్ నగ్గెట్స్	|	chicken nuggets	|	చికెన్ నగ్గెట్స్_clue	|		|	
28	|	American_and_Italian_Foods	|	చిప్స్	|	chips	|	చిప్స్_clue	|		|	
29	|	American_and_Italian_Foods	|	చబాట్టా	|	ciabatta	|	చబాట్టా_clue	|		|	
30	|	American_and_Italian_Foods	|	కార్న్ డాగ్	|	corn dog	|	కార్న్ డాగ్_clue	|		|	
31	|	American_and_Italian_Foods	|	కోట్టో	|	cotto	|	కోట్టో_clue	|		|	
32	|	American_and_Italian_Foods	|	కుకుంబర్	|	cucumber	|	కుకుంబర్_clue	|		|	
33	|	American_and_Italian_Foods	|	కేక్	|	cup	|	కేక్_clue	|		|	
34	|	American_and_Italian_Foods	|	ఫెట్టుచీనె	|	fettuccine	|	ఫెట్టుచీనె_clue	|		|	
35	|	American_and_Italian_Foods	|	ఫొకాచ్చా	|	focaccia	|	ఫొకాచ్చా_clue	|		|	
